Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f140w f140w_err f160w f160w_err Redshift
Q0207-M24 27.59 9999.0 26.06 0.57 24.88 0.03 24.37 0.13 23.98 0.1 23.6 0.13 23.46 0.16 9999.0 9999.0 24.63 0.07 9999 9999 3.197
Q0207-M5 26.5 9999.0 26.27 0.55 25.39 0.05 25.52 0.3 25.07 0.16 24.69 0.29 9999.0 9999.0 9999.0 9999.0 25.36 0.09 9999 9999 3.06
Q0207-MD12 26.52 0.78 24.77 0.23 23.99 0.02 23.89 0.11 23.24 0.1 23.51 0.16 23.78 0.31 9999.0 9999.0 9999.0 9999.0 9999 9999 2.847
Q0207-MD17 26.53 0.67 24.92 0.2 24.4 0.02 25.19 0.27 23.97 0.1 23.55 0.13 23.01 0.18 9999.0 9999.0 9999.0 9999.0 9999 9999 2.643
Q0207-MD19 26.35 9999.0 25.17 0.24 24.45 0.02 24.3 0.12 24.41 0.1 23.55 0.12 24.07 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999 2.879
Q0207-MD2 25.94 0.4 24.48 0.17 24.17 0.02 24.22 0.14 24.67 0.15 23.71 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.626
Q0207-MD24 26.02 0.44 24.61 0.15 24.23 0.02 24.05 0.1 23.77 0.1 23.28 0.1 23.32 0.21 9999.0 9999.0 24.12 0.05 9999 9999 2.64
Q0207-MD25 26.71 0.56 25.28 0.21 25.4 0.04 25.22 0.21 25.53 0.16 25.45 0.55 24.53 0.27 9999.0 9999.0 25.15 0.09 9999 9999 2.521
Q0207-MD26 26.33 0.55 24.6 0.15 24.25 0.02 23.56 0.1 22.84 0.1 22.52 0.1 22.41 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.642
Q0207-MD27 26.39 0.52 24.88 0.2 23.95 0.02 23.66 0.1 23.53 0.1 23.16 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.411
Q0207-MD29 25.95 0.4 24.11 0.12 23.84 0.02 23.55 0.1 22.8 0.1 22.41 0.1 23.24 0.22 9999.0 9999.0 9999.0 9999.0 9999 9999 2.268
Q0207-MD31 25.95 0.56 24.11 0.15 23.25 0.01 22.98 0.1 22.65 0.1 22.74 0.1 23.61 0.15 9999.0 9999.0 9999.0 9999.0 9999 9999 2.848
Q0207-MD33 26.97 0.85 25.13 0.2 24.47 0.02 23.81 0.1 22.67 0.1 22.21 0.1 21.42 0.1 21.33 0.18 9999.0 9999.0 9999 9999 2.546
Q0207-MD37 25.95 0.48 24.13 0.1 23.75 0.01 25.83 0.53 24.34 0.11 23.92 0.19 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.637
Q0207-MD39 26.42 0.7 24.32 0.15 23.72 0.01 23.55 0.1 22.93 0.1 22.69 0.1 22.43 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.526
Q0207-MD4 26.42 9999.0 25.26 0.28 24.57 0.02 23.88 0.1 23.6 0.1 23.04 0.1 23.09 0.19 9999.0 9999.0 9999.0 9999.0 9999 9999 2.641
Q0207-MD45 25.93 0.53 23.88 0.1 24.12 0.02 9999.0 9999.0 9999.0 9999.0 24.01 0.24 23.97 0.36 22.97 0.26 9999.0 9999.0 9999 9999 2.089
Q0207-MD49 26.64 0.89 24.68 0.18 23.93 0.01 23.69 0.1 23.09 0.1 22.76 0.1 22.47 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.92
Q0207-MD59 27.14 0.92 25.19 0.25 24.96 0.03 25.78 0.46 24.36 0.1 23.93 0.17 9999.0 9999.0 9999.0 9999.0 24.72 0.06 9999 9999 2.529
Q0207-MD6 26.56 9999.0 25.39 0.27 24.65 0.02 24.1 0.1 23.73 0.1 24.01 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.557
Q0207-MD60 26.72 0.81 25.04 0.2 24.54 0.02 24.38 0.11 23.69 0.1 23.36 0.1 23.28 0.11 9999.0 9999.0 23.99 0.03 9999 9999 2.59
Q0207-MD66 26.4 0.69 24.2 0.13 23.7 0.01 23.62 0.1 23.52 0.1 23.06 0.1 29.25 0.44 9999.0 9999.0 23.75 0.03 9999 9999 2.681
Q0207-MD8 25.85 9999.0 24.49 0.2 23.52 0.01 23.37 0.1 22.87 0.1 22.59 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 3.281
Q0207-Q0207 18.08 0.1 17.17 0.1 17.22 0.0 16.52 0.1 16.53 0.1 16.5 0.1 16.3 0.0 9999.0 9999.0 16.54 0.0 9999 9999 2.869
Q0207-RK108 27.39 9999.0 26.16 0.61 25.21 0.04 23.99 0.1 23.47 0.1 22.25 0.1 22.03 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 2.32
Q0207-RK114 25.63 0.35 24.84 0.21 24.21 0.02 22.32 0.1 21.6 0.1 21.59 0.1 20.84 0.12 20.77 0.1 9999.0 9999.0 9999 9999 1.495
Q0207-RK124 25.05 0.22 24.34 0.15 23.72 0.01 22.37 0.1 21.95 0.1 21.56 0.1 21.21 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.497
Q0207-RK126 24.62 0.18 23.58 0.1 22.52 0.0 21.32 0.1 20.74 0.1 20.4 0.1 19.6 0.1 9999.0 9999.0 9999.0 9999.0 9999 9999 1.615
Q0207-fBX100 26.5 0.43 26.12 0.31 26.28 0.08 25.48 0.18 25.45 0.16 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 26.58 0.1 9999 9999 2.325
Q0207-fBX157 26.92 0.5 26.52 0.53 26.17 0.07 25.49 0.22 24.97 0.1 24.6 0.15 24.05 0.24 9999.0 9999.0 25.43 0.14 9999 9999 2.321
Q0207-fBX188 26.57 0.31 26.13 0.35 26.32 0.07 25.74 0.27 25.93 0.1 24.89 0.25 9999.0 9999.0 9999.0 9999.0 25.99 0.06 9999 9999 1.981
Q0207-fBX60 26.27 0.34 25.99 0.37 25.91 0.06 25.85 0.28 25.0 0.1 25.45 0.5 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 1.421
Q0207-fBX86 25.98 0.3 25.53 0.26 25.58 0.05 9999.0 9999.0 9999.0 9999.0 24.36 0.18 24.81 0.33 9999.0 9999.0 25.61 0.11 9999 9999 2.061
Q0207-fBX99 26.79 0.66 25.87 0.33 25.67 0.06 26.8 0.85 24.55 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999 9999 2.039
